Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,sum_SRR8175837_1,sum_SRR8175836_1,sum_SRR8175839_1,sum_SRR8175838_1,sum_SRR8175841_1,sum_SRR8175840_1,sum_SRR8175843_1,sum_SRR8175842_1,sum_SRR8175845_1,sum_SRR8175844_1,sum_SRR8175881_1,sum_SRR8175880_1,sum_SRR8175879_1,sum_SRR8175878_1,sum_SRR8175885_1,sum_SRR8175884_1,sum_SRR8175883_1,sum_SRR8175882_1,sum_SRR8175873_1,sum_SRR8175872_1,sum_SRR8175848_1,sum_SRR8175849_1,sum_SRR8175846_1,sum_SRR8175847_1,sum_SRR8175852_1,sum_SRR8175853_1,sum_SRR8175850_1,sum_SRR8175851_1,sum_SRR8175854_1,sum_SRR8175855_1,sum_SRR8175871_1,sum_SRR8175870_1,sum_SRR8175897_1,sum_SRR8175896_1,sum_SRR8175875_1,sum_SRR8175874_1,sum_SRR8175877_1,sum_SRR8175876_1,sum_SRR8175886_1,sum_SRR8175868_1,sum_SRR8175858_1,sum_SRR8175859_1,sum_SRR8175860_1,sum_SRR8175861_1,sum_SRR8175862_1,sum_SRR8175863_1,sum_SRR8175864_1,sum_SRR8175865_1,sum_SRR8175866_1,sum_SRR8175867_1,sum_SRR8175893_1,sum_SRR8175892_1,sum_SRR8175891_1,sum_SRR8175890_1,sum_SRR8175889_1,sum_SRR8175888_1,sum_SRR8175887_1,sum_SRR8175869_1,sum_SRR8175895_1,sum_SRR8175894_1,sum_SRR8175856_1,sum_SRR8175857_1,sum_F1_MV385A_S6_L001_R1_001,sum_C2_MV386C_s_S11_L001_R1_001,sum_H2_MV387C_s_S16_L001_R1_001,sum_B4_MV388C_s_S26_L001_R1_001,sum_G4_MV389C_s_S31_L001_R1_001,sum_D5_MV390C_s_S36_L001_R1_001,sum_A6_MV391C_s_S41_L001_R1_001,sum_F6_MV392C_s_S46_L001_R1_001,sum_B7_MV393C_s_S50_L001_R1_001,sum_F7_MV394B_s_S54_L001_R1_001,sum_G1_MV395C_s_S7_L001_R1_001,sum_F3_MV396B_S22_L001_R1_001,sum_H4_MV397B_S32_L001_R1_001,sum_E5_MV398C_s_S37_L001_R1_001,sum_B6_MV399C_s_S42_L001_R1_001,sum_G6_MV400C_s_S47_L001_R1_001,sum_C7_MV401A_S51_L001_R1_001,sum_G7_MV402A_S55_L001_R1_001,sum_C1_MV403A_S3_L001_R1_001,sum_H1_MV404A_S8_L001_R1_001,sum_E2_MV405A_S13_L001_R1_001,sum_B3_MV406A_S18_L001_R1_001,sum_G3_MV407A_S23_L001_R1_001,sum_D4_MV408A_S28_L001_R1_001,sum_A5_MV410A_S33_L001_R1_001,sum_F5_MV411A_S38_L001_R1_001,sum_C6_MV412A_S43_L001_R1_001,sum_H6_MV413A_S48_L001_R1_001,sum_D7_MV414A_S52_L001_R1_001,sum_H7_MV415A_S56_L001_R1_001,sum_D1_MV416A_S4_L001_R1_001,sum_A2_MV417A_S9_L001_R1_001,sum_TH01_S1_L001_R1_001,sum_TH02_S2_L001_R1_001,sum_TH03_S3_L001_R1_001,sum_TH04_S4_L001_R1_001,sum_TH05_S5_L001_R1_001,sum_TH06_S6_L001_R1_001,sum_TH07_S7_L001_R1_001,sum_TH09_S9_L001_R1_001,sum_TH10_S10_L001_R1_001,sum_TH11_S11_L001_R1_001,sum_TH12_S12_L001_R1_001,sum_TH13_S13_L001_R1_001,sum_TH14_S14_L001_R1_001,sum_TH15_S15_L001_R1_001,sum_TH16_S16_L001_R1_001,sum_F2_MV435A_S14_L001_R1_001,sum_C3_MV436A_S19_L001_R1_001,sum_H3_MV438A_S24_L001_R1_001,sum_E4_MV439A_S29_L001_R1_001,sum_B5_MV440A_S34_L001_R1_001,sum_G5_MV441A_S39_L001_R1_001,sum_A7_MV442A_S49_L001_R1_001,sum_E7_MV443A_S53_L001_R1_001,sum_E1_MV444A_S5_L001_R1_001,sum_B2_MV445A_S10_L001_R1_001,sum_G2_MV447A_S15_L001_R1_001,sum_A4_MV448A_S25_L001_R1_001,sum_F4_MV449A_S30_L001_R1_001,sum_C5_MV450A_S35_L001_R1_001,sum_H5_MV451A_S40_L001_R1_001,sum_E6_MV452A_S45_L001_R1_001,sum_small_phytoplankton,sum_is_chlorophyta
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,6644,5659,5000,2720,618,3227,463,98,414,5230,3142,966,184,1641,2892,128,36,3256,2086,228,3886,5213,6534,538,245,615,744,9,19,20,0,157,14,650,46,495,687,168,160,366,989,1568,145,593,6,134,5,0,15,126,96,48,933,141,536,56,986,1675,116,143,351,583,32,1559,1690,2141,682,885,3487,145,0,0,5469,6929,14766,463,0,5062,337,1382,380,17,346,3129,0,865,931,7255,7427,0,255,1632,3437,136,1945,659,6923,1779,2393,248,272,1004,1740,14095,3061,11007,7992,77,8119,29,1831,19033,4805,35,4794,3792,1344,2983,0,45,84,2071,9886,1811,26,1,1
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Picochlorum,Picochlorum_sp.,332,88,1399,3426,716,93,65,21,17,1444,1755,1969,381,308,454,35,103,30,130,32,115,1654,882,257,154,1223,902,1134,3046,2606,5358,945,102,355,317,165,10,6,21,95,133,1572,1452,430,6770,5568,4446,58,68,127,250,166,445,264,82,427,145,94,112,158,1288,1002,10602,4170,458,297,1680,59,34,79,0,863,1058,4233,1821,10285,0,812,1653,9647,5438,2111,486,1256,4769,616,60,508,1056,0,0,150,231,7932,1584,180,94,43,34,56,21,469,285,1172,8,5448,2425,155,1004,15712,3423,91,3203,926,2855,14827,11689,14750,4652,463,1245,2508,1491,3066,4547,1,1
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2,3198,8198,1275,1837,665,2843,313,32,203,1078,3548,1124,48,1267,2164,367,11,821,536,86,3597,2856,2723,393,206,779,898,0,13,27,0,257,7,845,38,340,213,55,51,263,824,495,26,73,0,92,0,0,0,226,264,159,1242,124,295,21,616,1114,73,54,193,363,81,1877,2386,1466,715,296,1325,47,65,0,11120,1590,2649,1573,2552,3209,3190,1090,510,16,120,4699,103,1583,946,3844,2759,0,304,2813,4596,553,1122,185,3694,947,3133,200,107,386,624,4092,1797,1403,1326,42,8296,0,2585,19466,1484,0,2599,895,996,2339,40,0,40,1377,9374,4907,599,1,1
Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus_anophagefferens,873,2147,1113,1886,366,284,89,88,1264,106,445,50,58,878,1130,905,12,207,129,178,25284,2206,467,79,28,218,147,11,16,2,0,206,0,470,16,114,349,354,547,1088,62,193,23,42,3,11,17,8,19,386,55,25,585,214,648,158,888,764,71,45,49,121,369,502,589,515,783,0,383,63,66,0,187,3,804,10246,5,23,507,1750,619,14,81,185,0,816,151,1663,3307,0,30,184,285,0,4475,49,883,404,335,361,552,41,86,327,837,4207,670,160,3163,1023,2057,18036,0,0,346,0,2125,149,0,0,65,210,775,1821,923,1,0
Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales_XX_sp.,0,8,1964,667,491,0,0,2,0,339,331,341,89,0,0,0,0,0,0,3,131,1026,25563,1381,409,1961,5222,88,5,86,129,53,19,36,0,0,0,0,9,0,0,88,182,29,460,840,105,71,13,0,0,0,0,0,0,0,0,0,0,291,16818,1969,1225,0,60,0,0,0,0,0,0,0,368,9626,5396,13099,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1416,16,0,0,0,0,0,95,136,924,0,190,188,61,46,0,0,0,0,0,259,9356,3618,305,3,71,9,92,0,0,0,1,1
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,43249,29276,24320,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,49,378,577,1213,0,0,65,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
Eukaryota,Stramenopiles,Ochrophyta,MOCH-3,MOCH-3_X,MOCH-3_XX,MOCH-3_XXX,MOCH-3_XXX_sp.,10,123,452,529,14,7,13,0,0,1183,873,423,179,28,144,19,0,0,4,0,1122,599,1252,191,66,1266,720,147,70,294,502,7,13,0,73,10,0,0,0,40,176,103,82,28,282,300,191,0,9,32,266,61,34,99,0,33,0,3,12,28,458,666,731,0,5,30,240,78,0,0,0,750,87,1872,330,194,63778,1190,89,434,292,562,316,234,6299,37,0,0,9,0,6,13,212,3450,84,18,10,0,29,9,2,18,44,332,106,144,133,15,229,0,0,0,750,2,643,75,1034,1066,0,29,40,31,101,161,50,1,0
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_cordatum,382,307,2747,927,280,250,969,887,226,260,1677,1172,1988,211,164,1515,213,216,0,826,196,247,1237,2173,783,1046,1722,222,0,82,364,0,0,0,166,1142,3368,1545,841,294,338,304,0,211,271,289,347,878,89,0,0,0,0,0,89,67,231,103,449,0,664,925,6798,0,33,1182,227,784,373,61,47,0,22,563,477,1740,0,310,400,503,76,11,503,75,0,0,56,152,235,0,360,1061,23,44,91,571,773,529,1010,1513,1266,669,1074,626,1065,1748,2682,0,779,11872,263,0,568,0,310,3271,7082,674,0,0,290,476,71,179,568,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,243,56,84,5547,978,1601,17,2,6,266,1169,3368,63,1394,2359,106,0,0,0,0,0,155,4309,1058,1171,5238,3697,99,370,269,0,908,0,161,47,195,61,10,0,0,45,763,39,18,0,35,0,0,0,53,79,27,319,46,6,0,10,28,0,18,66,215,55,701,2341,1387,1190,1470,0,0,0,0,33,0,148,0,0,13913,130,68,353,117,2,1407,888,52,0,0,0,0,0,0,11,24,224,65,1707,367,5226,16,6,24,37,3795,633,532,262,11,1480,0,1055,0,108,0,83,0,214,2355,0,0,30,405,4847,2263,0,1,1
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_antarctica,2984,1079,0,0,0,0,266,9511,11197,83,0,0,0,0,0,44,936,24932,16067,7382,1151,290,0,0,0,0,0,0,0,0,0,0,0,0,0,117,469,1406,1961,127,443,31,0,0,0,0,0,0,0,0,0,0,0,0,1358,58,626,1003,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
