Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,GroupCount,sum_SRR8175836_1,sum_SRR8175837_1,sum_SRR8175838_1,sum_SRR8175839_1,sum_SRR8175840_1,sum_SRR8175841_1,sum_SRR8175842_1,sum_SRR8175843_1,sum_SRR8175844_1,sum_SRR8175845_1,sum_SRR8175846_1,sum_SRR8175847_1,sum_SRR8175848_1,sum_SRR8175849_1,sum_SRR8175850_1,sum_SRR8175852_1,sum_SRR8175853_1,sum_SRR8175872_1,sum_SRR8175873_1,sum_SRR8175878_1,sum_SRR8175879_1,sum_SRR8175880_1,sum_SRR8175881_1,sum_SRR8175882_1,sum_SRR8175883_1,sum_SRR8175884_1,sum_SRR8175885_1,sum_SRR8175851_1,sum_SRR8175854_1,sum_SRR8175855_1,sum_SRR8175856_1,sum_SRR8175857_1,sum_SRR8175858_1,sum_SRR8175859_1,sum_SRR8175860_1,sum_SRR8175861_1,sum_SRR8175862_1,sum_SRR8175863_1,sum_SRR8175864_1,sum_SRR8175865_1,sum_SRR8175866_1,sum_SRR8175867_1,sum_SRR8175868_1,sum_SRR8175869_1,sum_SRR8175870_1,sum_SRR8175871_1,sum_SRR8175874_1,sum_SRR8175875_1,sum_SRR8175876_1,sum_SRR8175877_1,sum_SRR8175886_1,sum_SRR8175887_1,sum_SRR8175888_1,sum_SRR8175889_1,sum_SRR8175890_1,sum_SRR8175891_1,sum_SRR8175892_1,sum_SRR8175893_1,sum_SRR8175894_1,sum_SRR8175895_1,sum_SRR8175896_1,sum_SRR8175897_1,sum_TH01_S1_L001_R1_001,sum_TH02_S2_L001_R1_001,sum_TH03_S3_L001_R1_001,sum_TH04_S4_L001_R1_001,sum_TH05_S5_L001_R1_001,sum_TH06_S6_L001_R1_001,sum_TH07_S7_L001_R1_001,sum_TH09_S9_L001_R1_001,sum_TH10_S10_L001_R1_001,sum_TH11_S11_L001_R1_001,sum_TH12_S12_L001_R1_001,sum_TH13_S13_L001_R1_001,sum_TH14_S14_L001_R1_001,sum_TH15_S15_L001_R1_001,sum_TH16_S16_L001_R1_001,sum_A2_MV417A_S9_L001_R1_001,sum_A4_MV448A_S25_L001_R1_001,sum_A5_MV410A_S33_L001_R1_001,sum_A6_MV391C_s_S41_L001_R1_001,sum_A7_MV442A_S49_L001_R1_001,sum_B2_MV445A_S10_L001_R1_001,sum_B3_MV406A_S18_L001_R1_001,sum_B4_MV388C_s_S26_L001_R1_001,sum_B5_MV440A_S34_L001_R1_001,sum_B6_MV399C_s_S42_L001_R1_001,sum_B7_MV393C_s_S50_L001_R1_001,sum_C1_MV403A_S3_L001_R1_001,sum_C2_MV386C_s_S11_L001_R1_001,sum_C3_MV436A_S19_L001_R1_001,sum_C5_MV450A_S35_L001_R1_001,sum_C6_MV412A_S43_L001_R1_001,sum_C7_MV401A_S51_L001_R1_001,sum_D1_MV416A_S4_L001_R1_001,sum_D4_MV408A_S28_L001_R1_001,sum_D5_MV390C_s_S36_L001_R1_001,sum_D7_MV414A_S52_L001_R1_001,sum_E1_MV444A_S5_L001_R1_001,sum_E2_MV405A_S13_L001_R1_001,sum_E4_MV439A_S29_L001_R1_001,sum_E5_MV398C_s_S37_L001_R1_001,sum_E6_MV452A_S45_L001_R1_001,sum_E7_MV443A_S53_L001_R1_001,sum_F1_MV385A_S6_L001_R1_001,sum_F2_MV435A_S14_L001_R1_001,sum_F3_MV396B_S22_L001_R1_001,sum_F4_MV449A_S30_L001_R1_001,sum_F5_MV411A_S38_L001_R1_001,sum_F6_MV392C_s_S46_L001_R1_001,sum_F7_MV394B_s_S54_L001_R1_001,sum_G1_MV395C_s_S7_L001_R1_001,sum_G2_MV447A_S15_L001_R1_001,sum_G3_MV407A_S23_L001_R1_001,sum_G4_MV389C_s_S31_L001_R1_001,sum_G5_MV441A_S39_L001_R1_001,sum_G6_MV400C_s_S47_L001_R1_001,sum_G7_MV402A_S55_L001_R1_001,sum_H1_MV404A_S8_L001_R1_001,sum_H2_MV387C_s_S16_L001_R1_001,sum_H3_MV438A_S24_L001_R1_001,sum_H4_MV397B_S32_L001_R1_001,sum_H5_MV451A_S40_L001_R1_001,sum_H6_MV413A_S48_L001_R1_001,sum_H7_MV415A_S56_L001_R1_001
Eukaryota,Hacrobia,Haptophyta,Pavlovophyceae,Pavlovales,Pavlovaceae,Diacronema,Diacronema_ennorea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,193,0,0,53,0,0,0,0,0,0,0,0,0,2,17,0,0
Eukaryota,Hacrobia,Haptophyta,Pavlovophyceae,Pavlovales,Pavlovaceae,Diacronema,Diacronema_sp.,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP4,Haptophyta_Clade_HAP4_X,Haptophyta_Clade_HAP4_XX,Haptophyta_Clade_HAP4_XXX,Haptophyta_Clade_HAP4_XXX_sp.,8,0,0,0,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Hacrobia,Haptophyta,Haptophyta_X,Haptophyta_XX,Haptophyta_XXX,Haptophyta_XXXX,Haptophyta_XXXX_sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Hacrobia,Haptophyta,Rappephyceae,Pavlomulinales,Pavlomulinaceae,Pavlomulina,Pavlomulina_ranunculiformis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_prolonga,10,2157,1006,870,186,1027,297,237,760,516,133,196,112,803,1227,324,86,107,45,388,692,73,185,670,1103,80,1130,875,54,0,87,86,70,128,85,20,41,0,0,0,10,92,130,164,35,360,11,341,57,459,612,331,97,0,329,61,292,46,9,37,46,1485,28,41,114,1629,420,2163,931,318,372,263,1261,1225,1463,346,473,2090,85,448,610,1106,0,2018,2491,972,0,0,165,323,532,1261,1616,1584,1126,434,2103,599,61,353,507,2072,130,125,524,0,0,0,856,1614,219,0,1781,111,0,0,1049,0,144,469,1498,48,249,212,0,209
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Falcomonas,Falcomonas_daucoides,11,875,1013,694,147,89,43,98,151,264,58,348,15,11,1592,43,0,47,0,28,288,22,106,293,109,18,752,1007,0,17,2,25,25,77,115,5,6,0,0,0,0,0,11,56,126,115,0,134,28,143,400,105,91,0,404,73,145,28,12,18,46,337,0,121,77,999,274,1216,442,379,103,277,1098,238,131,195,232,2616,49,19,336,702,0,0,3316,292,0,0,96,218,0,538,551,1620,0,319,1600,184,71,168,49,1513,492,17,0,0,0,81,89,1431,59,0,1507,13,4660,0,616,215,0,323,423,457,825,496,0,457
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,10,214,315,697,339,738,188,53,159,141,60,175,56,0,89,259,0,78,0,70,978,58,115,595,145,0,226,1362,0,0,0,27,26,0,0,0,0,0,0,0,20,0,137,0,0,109,0,242,39,75,307,78,87,9,186,21,173,10,13,94,0,1123,18,24,47,2096,1522,1526,230,104,0,45,152,358,201,261,103,1786,0,0,443,399,0,0,397,1593,0,0,33,61,0,937,1066,927,0,29,529,0,73,330,107,0,0,551,0,22,12,0,547,782,96,0,327,0,0,0,0,0,15,308,889,0,0,715,0,28
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta,7,138,68,101,141,182,0,0,23,21,0,197,0,0,32,80,0,36,0,60,466,70,99,163,236,27,308,831,0,0,0,102,12,0,0,0,0,0,7,0,34,0,34,0,0,212,20,40,18,0,87,9,0,0,0,0,10,38,0,0,0,414,0,9,0,1128,104,248,61,0,0,0,128,209,696,271,40,960,0,0,244,56,0,0,189,752,0,0,18,0,141,278,372,44,54,19,74,0,0,0,65,31,0,199,0,0,0,3,74,76,65,0,26,0,0,0,0,15,7,351,1042,0,29,416,0,0
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_gracilis,4,445,83,89,0,94,0,0,67,85,0,484,90,177,185,136,39,48,0,0,259,0,0,66,53,0,82,453,0,0,0,0,0,82,39,0,0,0,0,0,0,73,0,65,111,89,6,0,0,78,148,91,0,0,0,0,40,10,0,0,12,155,0,0,0,366,150,125,0,0,74,101,258,106,53,95,52,328,6,0,1103,0,0,0,220,298,0,0,0,0,0,352,359,296,0,34,228,0,47,0,54,250,0,0,3,0,0,0,101,250,0,0,0,40,0,0,228,0,0,0,0,0,0,0,0,100
